case,label,organ,dice
s0334,14,lung_lower_lobe_right,0.6301
s0227,10,lung_upper_lobe_left,0.0093
s0227,11,lung_lower_lobe_left,0.4146
s0227,13,lung_middle_lobe_right,0.0
s0227,14,lung_lower_lobe_right,0.0099
s0123,10,lung_upper_lobe_left,0.7797
s0123,11,lung_lower_lobe_left,0.6859
s0123,12,lung_upper_lobe_right,0.9187
s0123,13,lung_middle_lobe_right,0.8323
s0123,14,lung_lower_lobe_right,0.6977
s0247,10,lung_upper_lobe_left,0.0868
s0247,11,lung_lower_lobe_left,0.7888
s0247,13,lung_middle_lobe_right,0.133
s0247,14,lung_lower_lobe_right,0.0048
s0305,10,lung_upper_lobe_left,0.2541
s0305,11,lung_lower_lobe_left,0.7052
s0305,12,lung_upper_lobe_right,0.0
s0305,13,lung_middle_lobe_right,0.1733
s0305,14,lung_lower_lobe_right,0.1953
s0145,10,lung_upper_lobe_left,0.8675
s0145,11,lung_lower_lobe_left,0.7722
s0145,12,lung_upper_lobe_right,0.8608
s0145,13,lung_middle_lobe_right,0.5921
s0145,14,lung_lower_lobe_right,0.7967
s0331,10,lung_upper_lobe_left,0.7212
s0331,11,lung_lower_lobe_left,0.2201
s0331,12,lung_upper_lobe_right,0.725
s0331,13,lung_middle_lobe_right,0.5881
s0331,14,lung_lower_lobe_right,0.518
s0089,10,lung_upper_lobe_left,0.0435
s0089,11,lung_lower_lobe_left,0.7832
s0089,13,lung_middle_lobe_right,0.4183
s0089,14,lung_lower_lobe_right,0.5893
s0035,10,lung_upper_lobe_left,0.6385
s0035,11,lung_lower_lobe_left,0.0317
s0035,12,lung_upper_lobe_right,0.5387
s0035,13,lung_middle_lobe_right,0.3106
s0035,14,lung_lower_lobe_right,0.6789
s0213,10,lung_upper_lobe_left,0.164
s0213,11,lung_lower_lobe_left,0.7943
s0213,13,lung_middle_lobe_right,0.878
s0213,14,lung_lower_lobe_right,0.4867
s0353,11,lung_lower_lobe_left,0.6914
s0353,13,lung_middle_lobe_right,0.2135
s0353,14,lung_lower_lobe_right,0.8237
s0223,10,lung_upper_lobe_left,0.7814
s0223,11,lung_lower_lobe_left,0.5575
s0223,12,lung_upper_lobe_right,0.8278
s0223,13,lung_middle_lobe_right,0.6507
s0223,14,lung_lower_lobe_right,0.6442
s0355,10,lung_upper_lobe_left,0.6725
s0355,11,lung_lower_lobe_left,0.6983
s0355,13,lung_middle_lobe_right,0.1761
