case,split,inplane_W,dice_zslab,dice_sliding,delta
s0075,train,220,0.3991,0.7466,+0.3474
s0270,train,333,0.4668,0.8128,+0.3460
s0285,train,333,0.2770,0.8492,+0.5722
s0335,train,89,0.8573,0.7940,-0.0633
s0172,train,86,0.3753,0.3876,+0.0124
