case,label,organ,dice
s0334,14,lung_lower_lobe_right,0.8497
s0227,10,lung_upper_lobe_left,0.4706
s0227,11,lung_lower_lobe_left,0.9464
s0227,13,lung_middle_lobe_right,0.4912
s0227,14,lung_lower_lobe_right,0.9501
s0123,10,lung_upper_lobe_left,0.9763
s0123,11,lung_lower_lobe_left,0.9733
s0123,12,lung_upper_lobe_right,0.9687
s0123,13,lung_middle_lobe_right,0.9328
s0123,14,lung_lower_lobe_right,0.9771
s0247,10,lung_upper_lobe_left,0.542
s0247,11,lung_lower_lobe_left,0.9536
s0247,13,lung_middle_lobe_right,0.3346
s0247,14,lung_lower_lobe_right,0.9632
s0305,10,lung_upper_lobe_left,0.846
s0305,11,lung_lower_lobe_left,0.9574
s0305,12,lung_upper_lobe_right,0.0
s0305,13,lung_middle_lobe_right,0.7434
s0305,14,lung_lower_lobe_right,0.9142
s0145,10,lung_upper_lobe_left,0.9723
s0145,11,lung_lower_lobe_left,0.9628
s0145,12,lung_upper_lobe_right,0.9228
s0145,13,lung_middle_lobe_right,0.8411
s0145,14,lung_lower_lobe_right,0.96
s0331,10,lung_upper_lobe_left,0.9166
s0331,11,lung_lower_lobe_left,0.9252
s0331,12,lung_upper_lobe_right,0.8032
s0331,13,lung_middle_lobe_right,0.7547
s0331,14,lung_lower_lobe_right,0.7
s0089,10,lung_upper_lobe_left,0.7853
s0089,11,lung_lower_lobe_left,0.9818
s0089,13,lung_middle_lobe_right,0.9011
s0089,14,lung_lower_lobe_right,0.9877
s0035,10,lung_upper_lobe_left,0.8893
s0035,11,lung_lower_lobe_left,0.8733
s0035,12,lung_upper_lobe_right,0.9033
s0035,13,lung_middle_lobe_right,0.6413
s0035,14,lung_lower_lobe_right,0.8568
s0213,10,lung_upper_lobe_left,0.764
s0213,11,lung_lower_lobe_left,0.9118
s0213,13,lung_middle_lobe_right,0.8047
s0213,14,lung_lower_lobe_right,0.7358
s0353,11,lung_lower_lobe_left,0.0
s0353,13,lung_middle_lobe_right,0.0
s0353,14,lung_lower_lobe_right,0.0019
s0223,10,lung_upper_lobe_left,0.9746
s0223,11,lung_lower_lobe_left,0.9535
s0223,12,lung_upper_lobe_right,0.9114
s0223,13,lung_middle_lobe_right,0.8287
s0223,14,lung_lower_lobe_right,0.9687
s0355,10,lung_upper_lobe_left,0.9593
s0355,11,lung_lower_lobe_left,0.9592
s0355,13,lung_middle_lobe_right,0.9559
s0355,14,lung_lower_lobe_right,0.9684
s0052,10,lung_upper_lobe_left,0.2432
s0052,11,lung_lower_lobe_left,0.9714
s0052,13,lung_middle_lobe_right,0.8377
s0052,14,lung_lower_lobe_right,0.9778
s0243,10,lung_upper_lobe_left,0.8926
s0243,11,lung_lower_lobe_left,0.964
s0243,13,lung_middle_lobe_right,0.9429
s0243,14,lung_lower_lobe_right,0.9849
s0108,10,lung_upper_lobe_left,0.9189
s0108,11,lung_lower_lobe_left,0.9717
s0108,13,lung_middle_lobe_right,0.9475
s0108,14,lung_lower_lobe_right,0.983
s0086,10,lung_upper_lobe_left,0.9112
s0086,11,lung_lower_lobe_left,0.912
s0086,12,lung_upper_lobe_right,0.9296
s0086,13,lung_middle_lobe_right,0.8643
s0086,14,lung_lower_lobe_right,0.9294
s0107,10,lung_upper_lobe_left,0.9007
s0107,11,lung_lower_lobe_left,0.9605
s0107,12,lung_upper_lobe_right,0.0
s0107,13,lung_middle_lobe_right,0.9295
s0107,14,lung_lower_lobe_right,0.9628
s0304,10,lung_upper_lobe_left,0.0
s0304,11,lung_lower_lobe_left,0.9466
s0304,14,lung_lower_lobe_right,0.9564
s0344,10,lung_upper_lobe_left,0.937
s0344,11,lung_lower_lobe_left,0.9165
s0344,12,lung_upper_lobe_right,0.88
s0344,13,lung_middle_lobe_right,0.7041
s0344,14,lung_lower_lobe_right,0.8462
s0262,10,lung_upper_lobe_left,0.8343
s0262,11,lung_lower_lobe_left,0.9508
s0262,12,lung_upper_lobe_right,0.0
s0262,13,lung_middle_lobe_right,0.7605
s0262,14,lung_lower_lobe_right,0.9608
s0012,10,lung_upper_lobe_left,0.9082
s0012,11,lung_lower_lobe_left,0.9691
s0012,12,lung_upper_lobe_right,0.0
s0012,13,lung_middle_lobe_right,0.9671
s0012,14,lung_lower_lobe_right,0.9824
s0245,10,lung_upper_lobe_left,0.8025
s0245,11,lung_lower_lobe_left,0.9358
